,,,,,Quantity,Delta,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol
Bouchra,Crypto,BTC,Options ,BTCUSD-2024DEC27-C-150000=GALAXY_HK,-200.0,-991030.76978611,887.8376937174462,-8.465152082144414,-0.9444522152099899,1692.6600403739722,0.0,0.0,336232.09088045586,-37936.71943318061,-177567.53874348925,7.382258349689103,-39629.37947355458,-12677.42511135978,2956.1787387548293,0.7016282329133472
Bouchra,Crypto,BTC,Options ,BTCUSD-2024DEC27-C-85000=GALAXY_HK,150.0,3910819.0168214343,6106.073788102047,-75.35763687676445,-1.2190968676324474,-11302.920721739298,0.0,0.0,375836.79302508244,83092.47530324949,915911.0682153071,38.84262355417279,94395.39602498879,26054.30135712577,-5241.966047223585,0.6053714064239489
Bouchra,Crypto,BTC,Options ,BTCUSD-2024DEC27-C-95000=GALAXY_HK,-225.0,-4405211.070600502,4241.059638973793,-50.829845584756185,-1.1843232629272697,11435.758947786759,0.0,0.0,-400064.37507788686,-112592.55645574085,-954238.4187691035,29.168648059996652,-124028.31540352761,-35002.01544667371,7200.312965958851,0.6189641447082674
Bouchra,Crypto,BTC,Options ,BTCUSD-2024SEP27-C-100000=GALAXY_HK,-150.0,-820510.7237965416,576.261571113846,-23.494349035900996,-3.9173184034656847,3523.7617263830907,0.0,0.0,174410.37370392104,-55963.99435695642,-86439.2356670769,8.149389943514768,-59487.75608333951,-6232.928783487237,3257.6614917330776,0.6213811915178052
Bouchra,Crypto,BTC,Options ,BTCUSD-2024SEP27-C-75000=GALAXY_HK,150.0,3760133.0330579276,3405.615083718225,-92.60765863977213,-2.647277359398487,-13890.228364636248,0.0,0.0,-7556.817010936735,158749.4661491611,510842.26255773375,37.345996142615085,172639.69451379735,15657.027267454945,-7083.171172583039,0.5378512372133994
Bouchra,Crypto,BTC,Options ,BTCUSD-2024SEP27-C-85000=GALAXY_HK,-50.0,-672129.5982605228,1575.837239390974,-51.3012102192024,-3.1528485010905465,2564.8316304652253,0.0,0.0,-247142.09085004363,-37785.86970828839,-78791.86196954871,20.026963804172578,-40350.70133875361,-3861.3733897599986,1843.2408490753774,0.5675240030025953
Bouchra,Crypto,BTC,Options ,BTCUSD-2024SEP27-C-90000=GALAXY_HK,100.0,984818.6470955908,1101.9107506074888,-38.874740437047876,-3.4077169408468744,-3887.0934000498964,0.0,0.0,-176208.54429559622,60300.78222760781,110191.07506074887,14.671967616141817,64187.875627657704,6332.128528525248,-3115.9888923918425,0.5850463106129434
Bouchra,Crypto,BTC,Options ,BTCUSD-2024SEP27-C-95000=GALAXY_HK,-100.0,-728999.8251891128,787.9816444232265,-29.96389846171587,-3.663312151079328,2996.0861324845464,0.0,0.0,227301.53184399032,-47498.462222691865,-78798.16444232265,10.86074259346302,-50494.54835517641,-5135.539922303422,2605.4163699932774,0.6031636684166107
Bouchra,Crypto,DOGE,,,6374114.824592309,820230.3086848682,0.128681445386,-0.0010305529710000205,-0.7944931726081961,-6568.862969978858,0.0,0.0,-139781.6878102988,-6568.862969978858,820230.3086848682,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,DOGE,Core,,6374114.824592309,820230.3086848682,0.128681445386,-0.0010305529710000205,-0.7944931726081961,-6568.862969978858,0.0,0.0,-139781.6878102988,-6568.862969978858,820230.3086848682,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,DOGE,Core,DOGE,6374114.824592309,820230.3086848682,0.128681445386,-0.0010305529710000205,-0.7944931726081961,-6568.862969978858,0.0,0.0,-139781.6878102988,-6568.862969978858,820230.3086848682,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,ETH,,,,-2658285.3735579317,,,,9907.471556008488,0.0,0.0,116653.83424292813,-21224.845326217168,-2098228.9504014486,,-31132.316882225656,-3320.468446922557,1768.5417639015297,
Bouchra,Crypto,ETH,Core,,-1761.6291091799997,-5839578.258482374,3314.87384492674,-11.804293205894282,-0.35483724952484863,20794.78652479945,0.0,0.0,211256.5499227075,20794.78652479945,-5839578.258482374,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,ETH,Core,ETH,-1761.6291091799997,-5839578.258482374,3314.87384492674,-11.804293205894282,-0.35483724952484863,20794.78652479945,0.0,0.0,211256.5499227075,20794.78652479945,-5839578.258482374,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,ETH,Options ,,-750.0,-650529.9797933813,120.63140884919653,-3.67740218310405,-2.95827958820112,2757.8379764423153,0.0,0.0,74526.22970221688,-28374.47890578334,-90473.5566368974,26.166103054529497,-31132.316882225656,-3320.468446922557,1768.5417639015297,0.6332275458373304
Bouchra,Crypto,ETH,Options ,ETHUSD-2024SEP27-C-4100=GALAXY_HK,-750.0,-650529.9797933813,120.63140884919653,-3.67740218310405,-2.95827958820112,2757.8379764423153,0.0,0.0,74526.22970221688,-28374.47890578334,-90473.5566368974,26.166103054529497,-31132.316882225656,-3320.468446922557,1768.5417639015297,0.6332275458373304
Bouchra,Crypto,ETH,RelativeValue,,1155.94832382,3831822.8647178235,3314.87384492674,-11.804293205894282,-0.35483724952484863,-13645.152945233276,0.0,0.0,-169128.94538199622,-13645.152945233276,3831822.8647178235,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,ETH,RelativeValue,ETH,1155.94832382,3831822.8647178235,3314.87384492674,-11.804293205894282,-0.35483724952484863,-13645.152945233276,0.0,0.0,-169128.94538199622,-13645.152945233276,3831822.8647178235,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,SEI,,,-1524778.0,-541871.031306,0.355377,-0.0015109999999999846,-0.42338212548474163,2303.939558000071,0.0,0.0,-21976.22887171997,2303.939558000071,-541871.031306,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,SEI,RelativeValue,,-1524778.0,-541871.031306,0.355377,-0.0015109999999999846,-0.42338212548474163,2303.939558000071,0.0,0.0,-21976.22887171997,2303.939558000071,-541871.031306,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,SEI,RelativeValue,SEI,-1524778.0,-541871.031306,0.355377,-0.0015109999999999846,-0.42338212548474163,2303.939558000071,0.0,0.0,-21976.22887171997,2303.939558000071,-541871.031306,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,SOL,,,16689.869965600003,3085836.074810624,184.892757173719,-0.8550152339590227,-0.46030981845770985,-14270.093073382508,0.0,0.0,723345.4549217598,-14270.093073382508,3085836.074810624,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,SOL,Core,,16689.869965600003,3085836.074810624,184.892757173719,-0.8550152339590227,-0.46030981845770985,-14270.093073382508,0.0,0.0,723345.4549217598,-14270.093073382508,3085836.074810624,0.0,0.0,0.0,0.0,0.0
